SAMPLE,X,Y,AG,PB,DOMAIN
1,11,8,,0,2
2,8,30,,0,2
3,9,48,,2.244,2
4,8,69,,4.344,2
5,9,90,,4.121,2
6,10,110,,5.872,2
7,9,129,,1.923,2
8,11,150,,0.313,2
9,10,170,,3.885,2
10,8,188,,1.746,2
11,9,209,,1.878,2
12,10,231,,0.821,1
13,11,250,,0.811,1
14,10,269,,1.243,2
15,8,288,,1.88,2
16,31,11,,0.287,2
17,29,29,,0.781,2
18,28,51,,2.921,2
19,31,68,,8.952,2
20,28,88,,7.026,2
21,30,110,,4.9003,2
22,28,130,,1.361,2
23,28,150,,3.35,2
24,30,171,,2.77,2
25,28,190,,2.061,2
26,31,209,,0.245,2
27,28,229,,1.981,2
28,30,250,,0.6003,2
29,31,269,,3.126,2
30,31,289,,2.4009,2
31,49,11,,6.533,2
32,49,29,,0.964,2
33,51,48,,1.05,2
34,49,68,,0.378,2
35,50,88,,8.2008,2
36,51,109,,4.5007,2
37,48,129,,1.9004,2
38,49,151,,7.733,2
39,51,168,,9.719,2
40,48,190,,7.624,2
41,50,211,,9.683,2
42,49,231,,3.947,2
43,51,250,,3.43,2
44,50,268,,8.638,2
45,51,290,,1.596,1
46,71,9,,4.458,2
47,71,29,,6.733,2
48,70,51,,2.526,2
49,68,70,,5.375,2
50,69,90,,0,2
51,68,110,,3.291,2
52,68,128,,6.463,2
53,69,148,,6.162,2
54,69,169,,7.613,2
55,70,191,,9.18,2
56,69,208,,0.974,1
57,69,229,,0,1
58,68,250,,0,1
59,71,268,0,,1
60,71,288,,0.024,1
61,91,11,,3.683,2
62,91,29,,0.916,2
63,90,49,,6.547,2
64,91,68,,6.455,2
65,91,91,,9.072,2
66,91,111,,8.263,2
67,89,130,,9.753,2
68,88,149,,5.511,2
69,89,170,,1.555,1
70,89,188,,0.1007,1
71,90,211,,0,1
72,90,230,,0,1
73,88,249,,0,1
74,88,269,,0.121,1
75,88,288,,0.622,1
76,109,11,,3.996,2
77,111,31,,1.766,2
78,108,49,,4.02,2
79,109,68,,2.6006,2
80,108,88,,1.92,2
81,110,109,,2.376,2
82,109,129,,7.02,2
83,110,148,,0.385,2
84,111,169,,0.221,1
85,111,191,,0.027,1
86,110,208,,0.179,1
87,109,230,,1.742,2
88,109,249,,0.129,2
89,109,268,,1.878,2
90,111,291,,2.688,2
91,130,9,,5.725,2
92,131,31,,0.291,2
93,130,48,,0.752,2
94,128,70,,3.999,2
95,129,90,,2.431,2
96,131,109,,0,2
97,129,128,,2.447,2
98,131,148,,1.852,2
99,131,169,,0.26,1
100,129,191,,0,1
101,128,209,,1.0003,1
102,130,231,,5.3003,2
103,131,248,,1.074,2
104,128,269,,1.593,2
105,131,288,,0.7007,2
106,148,8,,2.6002,2
107,149,29,,3.26,2
108,150,49,,3.327,2
109,151,69,,5.313,2
110,150,89,,5.472,2
111,150,109,,4.827,2
112,150,129,,0.841,2
113,150,151,,0.047,2
114,149,169,,1.8006,2
115,151,190,,0,1
116,148,208,,3.424,2
117,150,228,,6.023,2
118,149,251,,2.091,2
119,149,271,,0.794,2
120,148,291,,1.041,2
121,168,8,,4.46,2
122,171,29,,1.899,2
123,169,49,,2.8004,2
124,168,69,,0,1
125,168,91,,4.993,2
126,171,109,,4.573,2
127,168,131,,3.412,2
128,171,150,,0,2
129,171,171,,2.083,2
130,169,191,,0.997,1
131,170,210,,6.366,2
132,170,230,,1.731,2
133,169,249,,0.17,2
134,168,271,,2.831,2
135,168,290,,0.3009,1
136,190,11,,3.485,2
137,191,28,,2.224,2
138,191,48,,0.591,2
139,190,69,,0,1
140,190,89,,3.26,2
141,188,111,,3.251,2
142,191,129,,1.147,2
143,189,149,,4.816,2
144,190,169,,3.241,2
145,190,189,,0.1009,1
146,188,210,,3.329,2
